year,flow_volume m^3/s
1961,2684.248
1962,976.688
1963,1316.094
1964,1647.321
1965,1550.359
1966,1318.474
1967,1995.987
1968,1485.663
1969,596.468
1970,2767.565
1971,2765.266
1972,1211.451
1973,2028.65
1974,911.689
1975,2687.39
1976,4203.467
1977,3721.519
1978,3493.826
1979,2005.262
1980,2115.203
1981,1583.077
1982,2853.185
1983,2631.54
1984,2155.428
1985,696.908
1986,3193.159
1987,806.602
1988,4283.355
1989,845.662
1990,2743.87
1991,1967.973
1992,4519.191
1993,1121.358
1994,4901.85
1995,2278.92
1996,957.614
1997,961.827
1998,963.832
1999,355.816
2000,575.763
2001,404.591
2002,1133.413
2003,932.483
2004,479.979
2005,984.889
2006,1337.436
2007,1467.541
2008,1062.352
2009,636.455
2010,831.086
2011,819.205
2012,1186.551
2013,1129.138
